SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.019908638,64,0,0.166666667,21659.0,6,0,2,0,3.0
0,0.245484657,51,0,1934.0,,6,0,1,0,0.0
0,0.193748455,70,0,0.121136521,7214.0,7,0,1,0,0.0
0,0.012406259,36,0,0.272575808,3000.0,5,0,0,0,1.0
0,0.208381839,53,1,0.203433635,10833.0,7,0,1,0,2.0
0,0.02886065,46,0,0.308246073,4583.0,9,0,1,0,2.0
0,0.996336599,51,0,0.679231473,5464.0,11,0,1,0,1.0
0,0.039784293,77,0,42.0,,5,0,0,0,
0,0.069130129,53,0,0.244548138,10500.0,24,0,2,0,3.0
0,0.31299773,61,0,0.174970108,10035.0,13,0,1,0,2.0
0,0.066763317,70,0,0.700729927,958.0,9,0,0,0,0.0
0,0.882569394,49,2,0.829773178,4540.0,14,0,1,1,1.0
0,0.000300291,57,0,0.157305006,6871.0,8,0,2,0,0.0
0,0.040994617,45,0,0.880730782,2900.0,12,0,1,0,0.0
0,0.903659895,58,1,0.821435713,5000.0,7,0,1,0,1.0
0,0.535957903,42,2,0.232123451,4600.0,9,0,0,1,0.0
0,0.122840654,69,0,1113.0,,11,0,1,0,0.0
0,0.0,48,0,0.292426893,4000.0,15,0,1,0,0.0
0,0.0,59,0,3066.0,,11,0,3,0,0.0
0,0.018039247,74,0,0.135200974,4104.0,7,0,1,0,0.0
0,0.020130917,64,0,544.0,,8,0,0,0,0.0
0,0.0,52,0,151.0,,4,0,0,0,
0,0.072678515,47,0,0.00801008,11110.0,3,0,0,0,3.0
0,0.504648518,62,3,0.056145004,15833.0,8,0,0,0,0.0
0,0.260412138,53,0,0.167383262,10000.0,6,0,1,0,3.0
0,0.027558077,74,0,0.088680329,5220.0,7,0,0,0,0.0
0,0.009999747,59,0,0.39122738,5083.0,5,0,2,0,1.0
0,0.342349864,61,0,0.354391546,8800.0,10,0,2,0,2.0
0,0.048392335,51,0,0.120967742,3967.0,9,0,0,0,1.0
0,0.145503029,58,0,0.425414365,3800.0,15,0,1,0,0.0
0,0.032010463,56,0,0.36770116,10600.0,13,0,1,0,3.0
0,0.696367294,28,0,855.0,,6,0,0,0,3.0
0,0.119704003,47,0,0.070585883,5000.0,4,0,1,0,3.0
0,0.9999999,47,0,0.293410572,6904.0,4,0,2,0,0.0
0,0.289236921,36,0,0.388502616,13950.0,9,0,2,0,0.0
0,0.110062998,67,1,1916.0,,8,0,1,0,2.0
0,0.318931157,46,2,0.395505274,6540.0,26,0,2,0,0.0
0,0.076461569,31,0,0.008497876,4000.0,1,0,0,0,0.0
1,0.355137753,44,4,335.0,,17,0,0,1,0.0
0,0.34124008,44,0,0.271891244,2500.0,6,0,0,0,0.0
1,0.0,39,0,0.039619165,3255.0,1,7,0,0,0.0
0,0.401824962,42,0,0.3843717,10416.0,7,0,2,0,4.0
0,0.312247294,42,0,0.343248268,5916.0,4,0,1,0,0.0
0,0.162893858,50,0,0.583902529,5416.0,20,0,2,0,0.0
0,0.324630469,60,1,0.7992969,3128.0,6,0,2,0,1.0
0,0.635349197,58,0,2425.0,,4,0,1,0,0.0
0,0.733510993,26,3,925.0,,10,1,0,1,0.0
0,0.119119596,37,0,0.575522304,7083.0,9,0,2,0,0.0
0,0.0,49,0,0.219556714,3834.0,6,0,1,0,0.0
0,0.9999999,62,0,1775.0,,4,0,1,0,2.0
0,0.026106618,66,0,0.00695501,4600.0,5,0,0,0,2.0
0,0.022190067,34,0,0.457378837,6416.0,17,0,1,0,1.0
0,0.73855302,43,0,0.445198836,11340.0,11,0,1,0,2.0
0,0.007142347,57,0,2014.0,,4,0,1,0,0.0
1,0.988687007,46,0,0.47656648,3925.0,5,4,0,2,3.0
1,0.475600657,27,0,0.231441048,2289.0,2,0,0,0,0.0
0,0.269640108,35,0,0.420441921,8100.0,12,0,2,0,0.0
1,0.947565543,31,0,0.366187303,2850.0,4,1,2,1,2.0
0,0.009829445,58,0,0.732394366,2200.0,7,0,1,0,0.0
1,0.238991465,63,5,1543.0,,12,0,2,1,0.0
0,0.013293033,64,0,0.006516291,3989.0,5,0,0,0,0.0
0,0.643010554,31,0,0.261217348,8000.0,12,0,2,0,2.0
0,0.009831695,78,0,195.0,,6,0,0,0,0.0
0,0.677586712,37,0,2.058676654,800.0,3,0,1,0,2.0
0,0.640781235,27,0,0.145301044,4500.0,8,0,0,0,0.0
0,0.0164068,37,1,3036.0,0.0,5,0,2,0,0.0
0,0.712609844,31,0,3487.0,,6,0,1,0,0.0
0,0.02201156,48,0,0.227141829,8333.0,5,0,1,0,6.0
0,0.0,52,0,1997.0,,7,0,1,0,0.0
0,0.9999999,32,0,0.11636971,8979.0,2,0,0,0,0.0
0,0.154006666,41,0,0.061115111,12500.0,3,0,0,0,1.0
1,0.334703316,42,0,5152.0,,14,0,2,0,0.0
0,0.0,50,0,0.260716224,7371.0,8,0,1,0,0.0
0,0.061756816,53,0,0.224815312,11911.0,11,0,2,0,2.0
0,0.007703839,53,1,0.232553099,4613.0,7,0,0,0,0.0
0,0.108144593,63,0,68.0,,2,0,0,0,0.0
0,0.316177245,55,0,0.221450403,3598.0,6,0,0,0,1.0
0,0.032724182,40,0,0.005458362,7144.0,5,0,0,0,0.0
0,0.0337425,77,0,0.414033457,4303.0,6,0,1,0,0.0
0,0.9999999,46,1,0.006584855,3340.0,2,0,0,0,2.0
0,0.072358954,72,0,1471.0,,9,0,1,0,0.0
0,0.0,52,0,0.467650698,11313.0,16,0,5,0,1.0
0,0.017346718,57,0,0.137345394,5416.0,13,0,1,0,1.0
0,0.571407253,48,0,0.034695678,3400.0,6,0,0,0,0.0
0,0.0,41,0,944.0,0.0,4,0,1,0,2.0
0,0.87728068,37,0,0.364805976,4818.0,8,0,1,1,1.0
0,0.108005897,39,0,1361.5,1.0,6,0,2,0,5.0
0,0.9999999,46,0,0.074493792,12000.0,2,0,1,0,3.0
0,0.025720435,32,0,0.192714454,2552.0,5,0,0,0,0.0
0,0.468253194,58,1,1906.0,,15,0,2,0,3.0
0,0.22485934,65,0,0.20555962,4100.0,10,0,0,0,0.0
0,0.025927015,56,0,0.322741918,9000.0,9,0,3,0,0.0
1,0.926305408,48,3,2.375923512,2300.0,14,0,2,1,6.0
1,0.043635826,55,6,0.041263622,8166.0,16,0,0,0,2.0
1,0.0,27,0,0.0,,2,0,0,2,0.0
0,0.2534589,41,1,0.292492274,5500.0,7,0,1,0,1.0
0,0.033944567,45,2,0.159061989,5500.0,9,0,1,0,0.0
0,0.183000691,30,1,0.221145108,3300.0,6,0,0,0,0.0
0,0.150877447,74,0,3894.0,,19,0,3,0,0.0
0,0.275733164,95,0,0.163272862,2700.0,5,0,0,0,0.0
0,0.006824399,39,0,0.136590888,10600.0,6,0,1,0,2.0
1,0.0,43,6,0.420948617,7083.0,5,1,1,1,3.0
0,0.127706422,48,0,0.290237698,11400.0,13,0,2,0,9.0
0,0.9999999,29,1,631.0,,2,0,0,0,
0,0.039493697,48,0,743.0,,12,0,0,0,
0,0.038692856,66,0,0.188199188,10100.0,16,0,1,0,1.0
1,0.913528954,36,1,0.692634299,5416.0,11,0,2,0,3.0
0,0.00099211,60,0,0.162653112,12000.0,13,0,1,0,3.0
0,0.9999999,63,0,0.0,,8,0,0,0,0.0
0,0.0,79,0,0.0,,1,0,0,0,0.0
0,0.658946693,66,0,0.415011759,15307.0,11,0,2,0,0.0
0,0.001450271,65,0,0.192450616,5112.0,5,0,1,0,0.0
0,0.14325183,57,0,0.332589286,5375.0,24,0,2,0,0.0
0,0.039148043,84,0,0.313176321,4712.0,6,0,1,0,0.0
0,0.031142782,25,0,0.085674884,5800.0,9,0,0,0,0.0
0,0.023324417,69,0,1361.0,,5,0,2,0,0.0
0,0.865585425,27,0,0.166089965,2600.0,6,1,0,1,0.0
0,0.014443642,34,0,867.0,,3,0,1,0,0.0
0,0.166093862,55,1,0.299531753,6833.0,20,0,1,0,0.0
0,1.036197587,69,0,0.410951894,1953.0,7,0,0,0,1.0
0,0.071321781,42,0,86.0,,4,0,0,0,0.0
0,0.539433345,54,0,1977.0,,20,0,0,0,0.0
1,0.23554247,47,1,0.848860456,2500.0,11,0,2,0,3.0
0,0.0,71,0,1616.0,,4,0,2,0,1.0
0,0.089373357,76,0,0.577689243,250.0,5,0,0,0,0.0
0,0.16732863,47,0,1978.0,,5,0,1,0,0.0
0,0.235779277,51,0,0.282998944,10416.0,12,0,2,0,1.0
1,0.9999999,32,0,0.006731051,3416.0,1,0,0,0,3.0
0,0.9999999,37,2,2146.0,,5,1,1,0,
0,0.760215675,51,0,3265.0,,17,0,1,0,0.0
0,0.121735602,48,0,0.331179023,10830.0,6,0,2,0,3.0
0,0.090537495,42,0,0.42581314,7716.0,19,0,3,0,2.0
1,0.542936427,61,0,0.728007659,9400.0,10,0,4,0,0.0
0,0.069510782,53,0,0.193473419,10326.0,10,0,2,0,0.0
0,0.602769119,70,0,1430.0,,6,0,0,0,0.0
0,0.0,43,2,0.45401322,5294.0,6,0,2,0,3.0
0,0.0,56,0,80.0,,10,0,0,0,
0,0.034377314,85,0,0.054740406,1771.0,18,0,0,0,0.0
0,0.000199996,54,0,0.179688616,7000.0,6,0,1,0,2.0
0,0.0,51,0,0.125357102,8750.0,8,1,1,1,0.0
0,0.9999999,35,1,0.143971206,5000.0,2,0,0,0,2.0
0,0.9999999,58,0,0.172009652,2900.0,3,1,0,0,0.0
0,0.009680059,49,0,0.240746633,9428.0,20,0,2,0,1.0
0,0.098288039,42,0,0.264147171,5000.0,13,0,0,0,2.0
0,0.040301388,54,0,0.016994335,3000.0,4,0,0,0,0.0
0,0.239019844,56,0,0.364987797,4506.0,9,0,1,0,3.0
0,0.014759912,75,0,14.0,,3,0,0,0,0.0
0,0.9999999,46,1,0.269093505,1400.0,2,0,0,0,1.0
0,0.119182215,40,0,0.196932347,3650.0,10,0,0,0,0.0
0,0.008264463,72,0,0.017478152,800.0,3,0,0,0,0.0
0,0.16704502,88,0,1.193859336,2800.0,12,0,4,0,0.0
0,0.469804026,55,0,2455.0,,7,0,1,0,0.0
0,0.9999999,41,0,0.422694549,5833.0,2,0,0,0,3.0
1,0.682417083,40,2,0.212115347,5166.0,2,3,0,1,1.0
0,0.089820359,38,0,0.310951239,1250.0,4,0,0,0,1.0
0,0.0,27,0,64.0,,1,0,0,0,0.0
0,0.146188379,81,0,205.0,,4,0,0,0,0.0
0,0.566544385,48,3,0.540317378,7750.0,11,0,2,0,1.0
0,0.966016992,35,0,0.144285238,3000.0,2,0,0,0,3.0
0,0.092123739,34,0,0.362987483,9666.0,6,0,2,0,1.0
0,0.268871096,48,0,0.861753785,3500.0,9,0,1,0,0.0
0,0.477210413,62,1,0.015798331,29116.0,3,0,0,0,1.0
0,0.066956067,74,0,1484.0,,10,0,1,0,0.0
0,0.007332519,87,0,0.003117693,1282.0,4,0,0,0,0.0
0,0.07822635,54,0,0.62728811,6500.0,15,0,3,0,1.0
0,0.120152268,68,1,0.543491302,5000.0,16,0,2,0,0.0
0,0.99520016,64,0,0.411755142,12300.0,6,0,2,0,1.0
0,0.00714263,44,0,1063.0,,6,0,1,0,3.0
0,0.58649039,41,1,0.267448568,5200.0,7,0,2,0,2.0
0,0.014597303,50,0,0.427255278,5209.0,13,0,2,0,1.0
0,0.084477407,47,0,2219.0,,10,0,2,0,0.0
0,0.112161393,34,0,0.220504944,10416.0,9,0,1,0,0.0
0,0.34159369,54,0,2031.0,,4,0,2,1,
0,0.363129562,55,0,0.303661972,12424.0,11,0,1,0,1.0
0,0.100972179,37,0,0.649746193,6500.0,18,0,2,0,1.0
0,0.217561776,47,1,0.387889175,3500.0,14,0,1,0,2.0
0,0.083275719,52,0,2116.0,,11,0,1,0,0.0
0,0.618166526,46,0,0.109589041,4160.0,5,0,0,0,1.0
0,0.90471812,40,2,764.0,,7,0,1,0,2.0
0,0.0,64,0,0.273389571,5215.0,6,0,1,0,2.0
0,0.496576853,61,0,0.821059647,3000.0,14,0,1,0,0.0
0,0.21286031,36,0,0.563752087,9583.0,10,0,2,0,1.0
0,0.165518774,29,1,0.291815455,7000.0,9,0,1,1,2.0
0,0.0,51,0,0.105197401,4001.0,2,0,0,0,2.0
0,0.088780995,43,0,0.274675046,7000.0,13,0,1,0,4.0
0,0.162883712,47,0,0.277897768,4166.0,5,0,1,0,3.0
1,0.167430779,49,0,0.780680535,6200.0,11,0,2,0,1.0
0,0.9999999,91,0,0.0,,2,0,0,0,0.0
0,0.029767065,48,0,20.0,,7,0,0,0,0.0
0,0.0,64,0,0.002676758,10833.0,10,0,0,0,0.0
0,0.100939181,47,0,0.479295574,2100.0,4,0,1,0,2.0
0,0.0,59,0,0.0,3400.0,2,0,0,0,0.0
0,0.093401259,65,0,0.046079493,12000.0,16,0,0,0,0.0
0,0.159705599,48,0,0.264996001,3750.0,7,0,2,0,0.0
0,0.303463036,40,0,0.260313275,12895.0,14,0,1,0,2.0
0,0.804309512,64,0,0.388985875,6300.0,8,0,0,0,0.0
0,0.028638093,67,0,1.117426608,1600.0,10,0,1,0,0.0
1,0.9999999,42,0,0.027506964,2871.0,1,2,0,0,1.0
0,0.809551347,38,0,0.332612807,3700.0,14,0,0,0,0.0
0,0.035311497,51,0,0.231751421,13548.0,11,0,4,0,2.0
0,0.122413635,76,0,1488.0,,12,0,2,0,0.0
0,0.0,42,0,2.094151213,700.0,5,0,2,0,2.0
0,0.672947694,41,0,0.846752771,10916.0,20,0,4,0,0.0
0,0.117212964,45,0,2844.0,,9,0,1,0,1.0
0,0.0,38,0,0.014237722,6250.0,4,2,0,0,0.0
0,0.0,24,0,0.0,1.0,4,0,0,0,0.0
0,0.104444633,39,0,34719.0,,10,0,8,0,0.0
0,0.139074866,44,0,1.548988534,10726.0,12,0,4,0,0.0
0,0.020025721,50,0,0.079543178,4990.0,14,0,0,0,1.0
0,0.0,56,0,0.07764779,9658.0,5,0,0,0,2.0
0,0.231153769,32,0,0.500749875,6000.0,5,0,2,0,0.0
0,0.069801471,64,0,0.370737756,19355.0,11,0,4,0,2.0
0,0.111490709,63,0,0.145888149,17862.0,4,0,1,0,0.0
0,0.660311958,65,1,0.297459321,7005.0,7,1,1,0,2.0
0,0.069017566,40,0,0.476265511,5076.0,8,0,1,0,2.0
0,0.150395372,29,0,0.071579392,4735.0,7,0,0,0,3.0
0,0.093081679,49,0,0.541795163,6160.0,8,0,2,0,1.0
0,0.005561378,45,0,0.269341332,8000.0,13,0,1,0,0.0
0,0.000999929,62,0,1316.0,,9,0,1,0,
0,0.427703946,54,0,3557.0,0.0,9,0,1,0,0.0
0,0.099742641,44,0,0.350756927,7001.0,20,0,2,1,3.0
1,0.057206038,56,0,0.493456389,13218.0,10,0,5,0,1.0
0,0.143986287,63,0,0.017640141,2550.0,2,0,0,0,0.0
0,0.025676607,54,0,0.404750245,4083.0,14,0,1,0,0.0
0,0.005088413,59,0,1789.0,,22,0,2,0,3.0
0,0.060424103,48,0,0.351864884,4262.0,9,0,1,0,2.0
0,0.021848992,77,0,30.0,,5,0,0,0,0.0
0,0.952361009,39,0,0.397239522,5940.0,6,0,1,0,2.0
0,0.595810312,36,0,1426.0,,6,0,1,0,3.0
0,0.064835195,56,2,0.197624587,8166.0,10,0,1,0,0.0
1,0.565316203,64,2,0.953696396,3800.0,9,1,2,0,0.0
0,0.063499093,66,0,0.009171781,14500.0,20,0,0,0,0.0
0,0.26108887,34,0,0.440869012,11000.0,16,0,2,0,2.0
0,0.075176098,57,0,4644.0,,22,0,2,0,0.0
0,0.469868513,62,0,0.555505719,4458.0,11,0,2,0,0.0
0,0.036737409,60,0,3867.0,,15,0,2,0,3.0
0,0.093943061,55,0,0.337946943,1733.0,7,0,0,0,0.0
0,0.246970137,54,0,0.219700493,10750.0,19,0,3,0,0.0
1,0.262340081,53,4,0.589978829,2833.0,16,0,1,0,0.0
0,0.11879568,46,0,0.351960893,9000.0,8,0,1,0,1.0
0,0.1693599,50,0,0.469668505,16500.0,27,0,3,0,1.0
0,0.0,37,0,0.412285012,4069.0,8,0,1,0,0.0
0,0.018609819,60,0,0.890777306,4000.0,3,2,1,0,0.0
0,0.774621784,58,1,0.246394687,10539.0,9,0,1,0,1.0
0,0.077185088,51,0,0.121572212,6563.0,6,0,1,0,1.0
0,0.263143813,44,0,0.320533973,6666.0,11,0,2,0,3.0
0,0.002452738,71,0,130.0,,3,0,0,0,0.0
0,0.010487462,69,0,4534.0,,23,0,2,0,0.0
0,0.0,54,0,4.0,,6,0,0,0,0.0
0,0.81414291,25,1,0.155046826,960.0,7,0,0,0,0.0
0,0.9999999,51,1,0.599404319,9400.0,10,0,2,0,2.0
0,0.543841775,41,0,3128.0,,9,0,2,0,0.0
0,0.015282054,70,0,0.244503664,1500.0,6,0,0,0,0.0
0,0.374745867,54,0,0.690637147,11833.0,21,0,2,0,0.0
0,0.821796322,32,0,0.648385131,6563.0,10,0,1,0,3.0
0,1.028555111,52,1,2487.0,,6,2,1,2,0.0
0,0.0,79,1,2.0,,6,0,0,0,0.0
0,0.804839032,39,0,0.26107993,5166.0,5,0,2,0,0.0
0,0.0,42,0,0.0,,4,0,0,0,0.0
0,0.029040528,66,1,0.22212112,9890.0,6,0,1,0,0.0
0,0.917401343,40,0,1049.0,,9,0,0,0,0.0
0,0.9999999,48,0,0.0,2000.0,0,0,0,0,0.0
0,0.078357201,40,0,0.342655145,6364.0,9,0,1,0,0.0
0,0.4915663,57,0,0.731696527,4520.0,12,0,2,0,0.0
0,0.927010359,53,0,0.247134098,3750.0,5,0,0,0,0.0
0,0.30830306,36,0,0.135429262,3307.0,8,0,0,0,0.0
0,0.075327056,62,0,0.071378477,12832.0,7,0,1,0,0.0
0,0.0,34,0,0.080391961,10000.0,8,0,0,0,0.0
0,0.117506954,74,0,0.090976113,6781.0,4,0,0,0,1.0
0,0.538182617,63,0,0.204501106,7686.0,7,0,2,0,0.0
0,0.071297499,32,0,0.296623678,6900.0,16,0,2,0,1.0
0,0.707567155,81,0,1440.0,,6,0,3,0,
0,0.9999999,45,0,0.110588941,10000.0,4,0,1,0,3.0
0,0.419957359,64,0,0.327810313,7000.0,9,0,1,0,0.0
0,0.543435049,36,1,0.588102974,4000.0,7,0,1,0,0.0
0,0.064440864,31,0,0.069269222,4200.0,5,0,0,0,2.0
0,0.513581647,48,0,0.284261985,18000.0,9,0,2,0,2.0
0,0.026090209,44,0,0.274123175,11917.0,23,0,2,0,2.0
0,0.080458568,37,0,0.237813516,12000.0,10,0,1,0,2.0
1,0.780564572,48,0,3574.0,,12,0,1,0,1.0
0,0.210789211,26,0,6.0,0.0,2,0,0,0,0.0
0,0.0,35,0,0.207047255,3660.0,5,0,0,0,2.0
0,0.047369328,45,0,4105.0,,18,0,2,0,
0,0.365627356,32,0,0.10668775,10750.0,6,0,0,0,4.0
0,0.172420888,47,0,0.05487561,12500.0,13,0,0,0,0.0
0,0.008246998,52,0,0.363145096,3700.0,3,0,1,0,2.0
0,0.016959661,56,0,0.335291558,18383.0,11,0,2,0,0.0
0,0.059306255,24,0,0.203622736,1600.0,5,0,0,0,1.0
0,0.0,31,0,0.716492503,2200.0,6,0,1,0,0.0
0,0.049291481,41,0,0.310133757,4410.0,7,0,1,0,0.0
0,0.012822157,46,0,0.210338363,11200.0,17,0,2,0,2.0
0,0.014797822,45,0,0.281537048,6531.0,6,0,2,0,1.0
0,0.093512619,43,0,0.34816319,16250.0,5,0,2,0,0.0
0,0.064815076,74,0,681.0,,14,0,1,0,0.0
0,0.522353914,64,0,1.167073984,4500.0,20,0,3,0,0.0
0,0.099314684,89,0,591.0,,3,0,0,0,0.0
0,0.034273502,60,0,0.010292953,3788.0,4,0,0,0,0.0
0,0.411759477,43,0,0.347590478,5166.0,7,0,2,0,1.0
0,0.206779322,44,0,0.237587471,3000.0,4,0,0,0,3.0
0,0.053223981,66,0,0.3239,9999.0,7,0,1,0,1.0
0,0.002249972,70,0,4574.0,,16,0,2,0,0.0
0,0.915385577,29,3,0.191190253,3200.0,5,0,0,0,0.0
0,0.37574939,46,0,0.243189985,8626.0,26,0,1,0,3.0
0,0.9999999,55,0,0.086382723,5000.0,2,0,0,0,0.0
0,0.9999999,57,0,0.163683724,11900.0,2,0,1,0,0.0
0,0.136351304,53,0,0.674437968,1200.0,4,0,1,0,0.0
0,0.15398386,63,0,0.248377135,15866.0,9,0,2,0,1.0
0,0.018311519,51,0,0.0094392,1800.0,2,0,0,0,1.0
0,0.9999999,56,0,0.0,4333.0,3,0,0,0,1.0
0,0.075804129,61,0,0.212270543,8116.0,11,0,2,0,0.0
0,0.133104766,54,0,1399.0,,11,0,1,0,0.0
0,0.062063626,65,0,0.324505048,7626.0,11,0,3,1,0.0
1,0.965654555,46,1,0.370822708,7450.0,10,1,1,1,2.0
0,0.009860455,70,0,6849.0,,14,0,9,0,0.0
0,0.0,53,0,0.023181455,1250.0,15,0,0,0,2.0
0,0.086924233,65,0,2237.0,0.0,12,0,2,0,0.0
0,0.13711324,50,1,0.366814227,6550.0,6,0,2,0,1.0
0,0.9999999,25,1,0.132543502,2700.0,1,0,0,0,0.0
0,0.519288692,53,0,0.431933549,8667.0,8,0,2,0,1.0
0,0.498791563,48,1,1.336375489,2300.0,11,0,1,1,0.0
0,0.235889528,59,0,3172.0,,14,0,2,0,0.0
0,0.814005242,41,0,0.646264247,2368.0,4,0,0,0,2.0
0,0.0,41,0,0.596219153,8833.0,14,0,4,0,1.0
0,0.024378631,52,0,0.150484952,10000.0,4,0,1,0,3.0
0,0.9999999,75,0,1783.0,,2,0,1,0,
0,0.099090381,50,2,0.48924934,2650.0,7,1,1,0,0.0
1,1.010663112,36,5,0.314035818,2400.0,5,2,0,1,2.0
0,1708.0,67,0,0.383659477,7000.0,6,0,2,0,0.0
0,0.709943205,26,0,0.179171333,6250.0,6,0,0,0,0.0
0,0.102227579,29,0,0.441317627,4583.0,13,0,2,0,1.0
0,0.5514753,47,0,0.494106474,17900.0,20,0,2,0,3.0
0,0.279275057,67,0,2421.0,,7,0,2,0,0.0
0,0.00709563,25,0,0.602312139,864.0,6,0,0,0,0.0
0,0.585885439,59,0,0.316387749,3166.0,19,0,0,0,1.0
0,0.339724974,72,0,0.42476754,4731.0,12,0,1,0,1.0
0,0.190386058,55,0,0.323186313,9000.0,9,0,2,0,0.0
0,0.139107634,50,0,0.20362371,8333.0,11,0,1,0,0.0
0,0.208367298,46,0,0.310373104,4877.0,13,0,1,0,2.0
0,0.9999999,22,0,0.0,0.0,1,0,0,0,0.0
0,0.353806371,68,0,1634.0,,9,0,0,0,3.0
0,0.009147508,75,0,22.0,,4,0,0,0,0.0
1,0.958078039,37,4,0.582177228,8000.0,12,1,1,4,1.0
0,0.9999999,52,0,0.292134831,800.0,2,0,0,0,1.0
0,0.015798947,90,0,0.002717391,2575.0,5,0,0,0,0.0
0,0.516652565,33,0,0.20311174,3534.0,2,0,0,0,0.0
0,0.097511871,46,0,1589.0,,6,0,1,0,0.0
0,0.623587468,59,0,0.311950088,6250.0,19,0,0,0,0.0
0,0.057844296,51,0,402.0,,8,0,1,1,0.0
0,0.0149985,29,0,0.851074463,2000.0,4,0,1,0,0.0
1,0.981819835,59,0,0.246820809,3459.0,9,0,0,0,0.0
0,0.001105252,83,0,679.0,,7,0,0,0,0.0
0,0.006332538,40,0,0.432820686,5916.0,10,0,2,0,0.0
0,0.0,35,1,0.247923205,5416.0,4,0,2,0,1.0
0,0.79274139,52,1,0.190546529,8800.0,8,0,0,0,0.0
0,0.145492376,33,0,0.791302174,4000.0,8,0,2,0,0.0
0,0.048547064,46,0,0.136086223,7700.0,13,0,1,0,0.0
0,0.593733776,52,0,0.740372923,4933.0,14,0,2,0,0.0
0,0.278379748,43,0,0.334664537,10015.0,14,0,2,0,2.0
0,0.044947022,79,0,0.100385075,7530.0,15,0,1,0,1.0
0,0.013058698,48,0,0.270639354,8054.0,15,0,2,0,4.0
1,0.9999999,55,0,0.046990602,5000.0,1,0,0,0,0.0
0,0.9999999,33,0,5395.0,,4,0,1,0,0.0
0,0.989122121,43,0,0.45668773,7595.0,9,0,2,0,2.0
0,0.084287604,50,0,1932.0,,4,0,1,0,0.0
0,0.147202047,46,0,0.366845294,8583.0,7,0,2,0,3.0
0,0.110775887,53,1,3381.0,,8,0,1,0,0.0
0,0.166617106,61,4,0.411511061,5333.0,21,0,1,0,1.0
0,0.151016677,54,0,2547.0,,18,0,2,0,0.0
0,0.554576503,67,0,1551.0,,7,0,0,0,0.0
0,0.62942677,38,0,0.256864042,6045.0,7,0,0,0,1.0
0,0.362660663,87,0,2453.0,,7,5,0,0,1.0
0,0.079803672,48,0,3878.0,,3,2,1,0,0.0
0,0.022149744,34,0,0.013239875,1283.0,6,0,0,0,0.0
0,0.060352909,68,0,0.474381405,4000.0,12,0,2,0,0.0
0,0.0,38,0,0.0,3400.0,3,0,0,0,0.0
0,0.393734985,45,1,0.545622309,4876.0,16,0,2,0,1.0
0,0.013290803,53,0,0.033632287,445.0,12,1,0,0,0.0
0,0.977734818,41,0,0.28462217,3400.0,2,0,0,0,2.0
0,0.01849013,50,0,0.426735219,3500.0,9,0,1,0,0.0
0,0.225362294,45,0,605.0,,5,0,0,0,0.0
0,0.212919693,47,0,0.284762032,7500.0,9,0,2,0,0.0
0,0.061262582,54,0,0.334785952,3900.0,5,0,1,0,2.0
0,0.401446974,42,0,1.294085433,1825.0,4,0,2,0,0.0
0,0.035472353,62,0,0.290955238,4333.0,17,0,1,0,0.0
0,0.011576334,45,0,0.171399872,10950.0,13,0,1,0,4.0
0,0.9999999,54,0,0.274544988,3900.0,3,0,1,0,1.0
0,0.10391908,66,0,0.446648536,6250.0,9,0,2,0,0.0
0,0.119776045,26,0,17.0,0.0,2,0,0,0,0.0
0,0.31115972,52,0,0.376599312,11332.0,10,0,2,0,1.0
0,0.057728983,48,0,1486.0,,6,0,2,0,0.0
0,0.039499013,52,0,0.642686994,2098.0,7,0,1,0,0.0
0,0.123268105,31,0,0.317040658,4500.0,7,0,1,0,0.0
0,0.012147047,79,0,0.063470067,3607.0,8,0,0,0,0.0
0,0.564870259,69,1,784.0,,7,1,1,1,
1,0.320757393,74,1,0.156475238,4300.0,3,0,1,0,0.0
0,0.583488073,44,0,0.360341596,4800.0,8,0,1,0,1.0
0,0.198954664,54,0,0.158392152,8358.0,6,0,1,0,0.0
0,0.129224944,58,1,0.704565896,18900.0,11,0,5,0,1.0
0,0.281959266,56,0,1.220508426,3500.0,10,0,1,0,0.0
0,0.029585412,61,0,2528.0,,11,0,1,0,0.0
0,0.9999999,41,0,0.0,3880.0,1,0,0,0,2.0
0,0.0,86,0,0.003573169,6156.0,2,0,0,0,1.0
0,0.032069022,66,0,716.0,,5,0,1,0,0.0
0,0.0,23,0,0.0,,1,0,0,0,0.0
0,0.119263984,61,1,0.426591826,5700.0,24,0,1,0,1.0
0,0.041671676,59,0,0.261784615,8124.0,16,0,2,0,3.0
0,0.016066131,85,0,0.135431062,9406.0,10,0,0,0,0.0
1,0.9999999,27,98,45.0,,0,98,0,98,0.0
0,0.349726432,46,0,915.0,,7,0,1,0,0.0
0,0.0,43,0,0.543945605,10000.0,8,0,2,0,0.0
1,0.855749645,46,0,0.336348532,5416.0,5,0,1,0,0.0
0,0.0,51,0,0.253889235,3213.0,8,0,1,0,0.0
0,0.752945377,44,0,0.259163273,2700.0,4,0,0,0,0.0
0,0.936479129,80,1,198.0,,9,0,0,0,
0,0.347351948,54,1,0.575164139,8833.0,17,0,3,0,2.0
